/in X,/in Y
0,0
1.6e-07,0
4.800000000000001e-07,0
1.12e-06,0
2.400000000000001e-06,0
4.960000000000002e-06,0
8.160000000000001e-06,0
1.136e-05,0
1.456e-05,0
1.776e-05,0
2e-05,0
2.0003125e-05,0.01562499999999191
2.000802017029902e-05,0.04010085149510988
2.000893283846057e-05,0.04466419230283661
2.001075817478366e-05,0.05379087391829006
2.00112337016426e-05,0.05616850821299585
2.001218475536048e-05,0.06092377680240741
2.001311250358179e-05,0.06556251790894865
2.001357637769245e-05,0.06788188846222774
2.001450412591376e-05,0.07252062956878592
2.001597726834049e-05,0.07988634170243274
2.001843994582869e-05,0.09219972914343985
2.00197700157253e-05,0.09885007862651424
2.002067061074845e-05,0.1033530537422359
2.002169765051092e-05,0.1084882525546042
2.002252868512483e-05,0.112643425624153
2.0023355625735e-05,0.116778128675013
2.002405316652867e-05,0.1202658326433656
2.002492952260829e-05,0.1246476130414481
2.00257819810529e-05,0.1289099052645135
2.00267245692582e-05,0.1336228462910125
2.002764780530036e-05,0.1382390265018023
2.00285375647945e-05,0.1426878239724877
2.002958344862345e-05,0.1479172431172453
2.003167521628135e-05,0.1583760814067604
2.003363548049215e-05,0.168177402460732
2.003685396235118e-05,0.1842698117558743
2.003783614924992e-05,0.1891807462495961
2.003980052304741e-05,0.1990026152370396
2.004078270994615e-05,0.2039135497307613
2.004274708374364e-05,0.2137354187182048
2.004667583133862e-05,0.2333791566930918
2.005e-05,0.2500000000000061
2.005089156824939e-05,0.2544578412469581
2.005249523934578e-05,0.262476196728888
2.00539289242214e-05,0.2696446211069954
2.005679629397264e-05,0.2839814698632102
2.006253103347513e-05,0.3126551673756397
2.00740005124801e-05,0.3700025624004988
2.009693947049005e-05,0.4846973524502169
2.014281738650993e-05,0.7140869325496533
2.02e-05,1
2.02065443834037e-05,1
2.021963315021109e-05,1
2.02236774658609e-05,1
2.02256996236858e-05,1
2.02297439393356e-05,1
2.023783257063521e-05,1
2.025400983323443e-05,1
2.028636435843287e-05,1
2.035107340882975e-05,1
2.048049150962351e-05,1
2.073932771121102e-05,1
2.125700011438606e-05,1
2.229234492073612e-05,1
2.367117246036806e-05,1
2.505e-05,1
2.50625e-05,1
2.506558377690729e-05,1
2.507175133072187e-05,1
2.50729621000708e-05,1
2.507425309084691e-05,1
2.507466642456737e-05,1
2.507549309200831e-05,1
2.507627822620641e-05,1
2.507706569385041e-05,1
2.507785784039557e-05,1
2.507890356213606e-05,1
2.507964195580179e-05,1
2.508036734047794e-05,1
2.508136758716523e-05,1
2.508209087405198e-05,1
2.508304269943367e-05,1
2.508429589493362e-05,1
2.508608449588317e-05,1
2.508810801850859e-05,1
2.509113747961164e-05,1
2.509410387974924e-05,1
2.509705193987462e-05,1
2.51e-05,1
2.510084693725782e-05,1
2.5102300935861e-05,1
2.510363846663064e-05,1
2.510631352816992e-05,1
2.511166365124848e-05,1
2.512236389740559e-05,1
2.514376438971982e-05,1
2.518656537434829e-05,1
2.527216734360521e-05,1
2.544337128211905e-05,1
2.578577915914674e-05,1
2.647059491320212e-05,1
2.784022642131288e-05,1
3e-05,1
3.00125e-05,1
3.001558381198432e-05,1
3.001712571797648e-05,1
3.001887629193474e-05,1
3.001989878537766e-05,1
3.002077321268064e-05,1
3.00217140735749e-05,1
3.002249248818369e-05,1
3.002317493010137e-05,1
3.002402575289222e-05,1
3.002473125786343e-05,1
3.002556017037802e-05,1
3.002633750802768e-05,1
3.002729505245622e-05,1
3.002817140368096e-05,1
3.002912676021658e-05,1
3.003078583956662e-05,1
3.003242279716902e-05,1
3.003569671237384e-05,1
3.003876799475723e-05,1
3.00400459988998e-05,1
3.004260200718494e-05,1
3.004630100359247e-05,1
3.005000000000001e-05,1
3.005097577654818e-05,1
3.005265111174975e-05,1
3.005417887158982e-05,1
3.005723439126996e-05,1
3.005839609101431e-05,1
3.0060719490503e-05,1
3.006536628948038e-05,1
3.007465988743515e-05,1
3.007861133053466e-05,1
3.008651421673369e-05,1
3.010231998913175e-05,1
3.013393153392786e-05,1
3.019715462352009e-05,1
3.032360080270454e-05,1
3.057649316107344e-05,1
3.108227787781125e-05,1
3.209384731128686e-05,1
3.357192365564343e-05,1
3.505e-05,1
3.506250000000001e-05,1
3.506558381198432e-05,1
3.507175143595295e-05,1
3.507296219571551e-05,1
3.507427146623068e-05,1
3.507505510541577e-05,1
3.507593854923748e-05,1
3.507691335721005e-05,1
3.507796272534109e-05,1
3.507877428060716e-05,1
3.507963563624908e-05,1
3.508030881240568e-05,1
3.508105455281073e-05,1
3.508180267204669e-05,1
3.508267698182735e-05,1
3.508390844221015e-05,1
3.508529030361782e-05,1
3.508785315911573e-05,1
3.509022761390378e-05,1
3.509102147484906e-05,1
3.509260919673963e-05,1
3.509578464052076e-05,1
3.509789232026039e-05,1
3.510000000000001e-05,1
3.510104165938138e-05,1
3.510229921594676e-05,1
3.510348496269064e-05,1
3.510585645617842e-05,1
3.511059944315398e-05,1
3.512008541710509e-05,1
3.513905736500731e-05,1
3.517700126081175e-05,1
3.525288905242063e-05,1
3.540466463563838e-05,1
3.57082158020739e-05,1
3.631531813494494e-05,1
3.7529522800687e-05,1
3.88647614003435e-05,1
4.02e-05,1
4.025e-05,0.7500000000000109
4.031002037569595e-05,0.4498981215202843
4.033251528177196e-05,0.3374235911402115
4.034095087155047e-05,0.2952456422476883
4.035782205110748e-05,0.2108897444626421
4.037732032351708e-05,0.1133983824146051
4.04e-05,2.664535259100376e-14
4.040745547792961e-05,0
4.041835149899163e-05,0
4.042857770411988e-05,0
4.044903011437638e-05,0
4.047027799144915e-05,0
4.050618617881248e-05,0
4.055471908528986e-05,0
4.062745415084331e-05,0
4.072432981977341e-05,0
4.085759284382472e-05,0
4.105144947630925e-05,0
4.139239804588063e-05,0
4.207429518502337e-05,0
4.343808946330887e-05,0
4.616567801987987e-05,0
4.936567801987987e-05,0
5.256567801987987e-05,0
5.576567801987988e-05,0
5.788283900993995e-05,0
6.000000000000001e-05,3.388131789017201e-14
6.005000000000001e-05,0.2500000000000399
6.011002037569595e-05,0.5501018784797664
6.020000000000001e-05,0.9999999999999903
6.02117884344857e-05,1
6.023469479699689e-05,1
6.025691672095693e-05,1
6.030136056887701e-05,1
6.039024826471716e-05,1
6.056802365639746e-05,1
6.092357443975806e-05,1
6.163467600647927e-05,1
6.305687913992168e-05,1
6.590128540680651e-05,1
6.910128540680651e-05,1
7.23012854068065e-05,1
7.55012854068065e-05,1
7.785064270340326e-05,1
8.020000000000001e-05,1
8.025000000000001e-05,0.74999999999996
8.031002037569596e-05,0.4498981215202336
8.040000000000002e-05,0
8.041185111210625e-05,0
8.043483859633282e-05,0
8.045707362347194e-05,0
8.050154367775017e-05,0
8.059048378630663e-05,0
8.07053063763072e-05,0
8.085911226146627e-05,0
8.107585872352122e-05,0
8.148300149939236e-05,0
8.229728705113463e-05,0
8.392585815461916e-05,0
8.712585815461916e-05,0
9.032585815461916e-05,0
9.352585815461915e-05,0
9.672585815461915e-05,0
9.836292907730958e-05,0
0.0001,6.776263578034403e-14
0.00010005,0.2500000000000738
0.000100110020375696,0.5501018784798003
0.0001002,1
0.0001002117884344857,1
0.0001002346947969969,1
0.0001002569167209569,1
0.000100301360568877,1
0.0001003902482647171,1
0.0001005680236563973,1
0.0001009235744397576,1
0.0001016346760064784,1
0.00010305687913992,1
0.0001059012854068031,1
0.000109101285406803,1
0.000112301285406803,1
0.000115501285406803,1
0.0001178506427034015,1
0.0001202,1
0.00012025,0.749999999999994
0.000120310020375696,0.4498981215202674
0.0001204,0
0.0001204118708526218,0
0.0001204348838567546,0
0.0001204571230080016,0
0.0001205016013104956,0
0.0001205905579154837,0
0.0001207096139279055,0
0.0001208669652444039,0
0.000121085577009105,0
0.0001214728009396862,0
0.0001222472488008487,0
0.0001237961445231736,0
0.0001268939359678235,0
0.0001300939359678235,0
0.0001332939359678235,0
0.0001364939359678235,0
0.0001382469679839117,0
0.00014,0
0.00014005,0.2500000000000061
0.000140110020375696,0.5501018784797326
0.0001402,1
0.0001402117884344857,1
0.0001402346947969969,1
0.000140256916720957,1
0.000140301360568877,1
0.0001403902482647171,1
0.0001405680236563973,1
0.0001409235744397577,1
0.0001416346760064785,1
0.00014305687913992,1
0.0001459012854068031,1
0.0001491012854068031,1
0.0001523012854068031,1
0.0001555012854068031,1
0.0001577506427034016,1
0.00016,1
